,S,call,put
71,18843.373493975905,0.000502094304319467,5028.749724196543
72,18939.759036144576,0.0008192608533061779,4932.36449919442
73,19036.14457831325,0.0013214909540452124,4835.979459255846
74,19132.530120481926,0.0021076139784194925,4739.594703210194
75,19228.9156626506,0.0033241568874367022,4643.210377584433
76,19325.301204819276,0.0051857684539962645,4546.826697027325
77,19421.68674698795,0.008003177551817453,4450.443972267749
78,19518.072289156626,0.012220952347640646,4354.062647873867
79,19614.4578313253,0.01846781404530473,4257.683352566888
80,19710.843373493975,0.02762278211719149,4161.306965366286
81,19807.22891566265,0.04090096588006187,4064.934701381375
82,19903.614457831325,0.059963338567011526,3968.5682215853885
83,20000.0,0.08705529335964624,3872.2097713715084
84,20096.385542168675,0.12517913479067921,3775.8623530442637
85,20192.77108433735,0.17830584312804199,3679.529937583924
86,20289.156626506025,0.25163139664207534,3583.2177209687616
87,20385.5421686747,0.3518825765829803,3486.9324299800282
88,20481.927710843374,0.48767644333192095,3390.682681678103
89,20578.31325301205,0.6699364981536533,3294.4793995642467
90,20674.698795180724,0.91236688635977,3198.336287783779
91,20771.0843373494,1.2319838294661167,3102.2703625582144
92,20867.469879518074,1.6497008002363174,3006.302537360305
93,20963.85542168675,2.1909608151105715,2910.4582552065076
94,21060.240963855424,2.8864056936336056,2814.7681579163545
95,21156.6265060241,3.772568347180652,2719.2687784012305
96,21253.012048192773,4.892570274832224,2624.003238160203
97,21349.39759036145,6.29680266586081,2529.021928382561
98,21445.783132530123,8.043566069103349,2434.383149617126
99,21542.168674698798,10.199640740604536,2340.1536821199516
100,21638.554216867473,12.840757776540727,2246.4092569872155
101,21734.939759036148,16.051940218115305,2153.234897260114
102,21831.32530120482,19.92768368537577,2060.7250985587016
103,21927.710843373494,24.571947912175347,1968.9838206168279
104,22024.09638554217,30.097933900963426,1878.1242644369413
105,22120.481927710844,36.62762629760982,1788.2684146649117
106,22216.86746987952,44.291086916409995,1699.5463331150386
107,22313.253012048193,53.225492943598965,1612.0951969735506
108,22409.63855421687,63.573921944236645,1526.058083805514
109,22506.024096385543,75.48389504342276,1441.5825147360265
110,22602.409638554218,89.1056991370333,1358.8187766609626
111,22698.795180722893,104.59051825902861,1277.9180536142812
112,22795.180722891568,122.08841282658068,1199.0304060131602
113,22891.56626506024,141.7461929515057,1122.3026439694113
