,S,call_Delta,call_Gamma,call_Vega,call_Theta,call_Rho,put_Delta,put_Gamma,put_Vega,put_Theta,put_Rho
37,15566.265060240963,7.25828029316003e-17,7.570270128390701e-19,2.7138204736249796e-12,-3.0446296474485185e-12,9.230292370389818e-14,-0.9999999999999999,7.570270128390701e-19,2.7138204736249796e-12,1551.6879765450765,-1962.09227803382
38,15662.650602409638,1.963418718597687e-16,2.0065523963763384e-18,7.282523924115857e-12,-8.173029892064401e-12,2.51211205678658e-13,-0.9999999999999998,2.0065523963763384e-18,7.282523924115857e-12,1551.6879765450713,-1962.0922780338199
39,15759.036144578313,5.205578535340118e-16,5.21237119225408e-18,1.9151179835357437e-11,-2.150045811908597e-11,6.700731709625869e-13,-0.9999999999999994,5.21237119225408e-18,1.9151179835357437e-11,1551.687976545058,-1962.0922780338194
40,15855.421686746988,1.3531550732386534e-15,1.3274252051555447e-17,4.937038897801836e-11,-5.544636098392025e-11,1.7523098667947053e-12,-0.9999999999999987,1.3274252051555447e-17,4.937038897801836e-11,1551.687976545024,-1962.0922780338183
41,15951.807228915663,3.4497783516131465e-15,3.3152462500097893e-17,1.2480628993980343e-10,-1.4021701283134385e-10,4.494152177777573e-12,-0.9999999999999966,3.3152462500097893e-17,1.2480628993980343e-10,1551.6879765449391,-1962.0922780338155
42,16048.192771084337,8.628582871451873e-15,8.122517546620094e-17,3.0948800285874144e-10,-3.4783183475841713e-10,1.1307656431732674e-11,-0.9999999999999913,8.122517546620094e-17,3.0948800285874144e-10,1551.6879765447318,-1962.0922780338087
43,16144.578313253012,2.1180155398952565e-14,1.9528544195472134e-16,7.530506301286535e-10,-8.466708560722759e-10,2.7920441831064705e-11,-0.9999999999999788,1.9528544195472134e-16,7.530506301286535e-10,1551.6879765442327,-1962.0922780337921
44,16240.963855421687,5.103805573312266e-14,4.608778130871853e-16,1.7984993966671803e-09,-2.02287681056328e-09,6.767541143863127e-11,-0.9999999999999489,4.608778130871853e-16,1.7984993966671803e-09,1551.6879765430565,-1962.0922780337523
45,16337.349397590362,1.2077182145913605e-13,1.0679921781358718e-15,4.2172773329516534e-09,-4.745302650327182e-09,1.6107562159551692e-10,-0.9999999999998792,1.0679921781358718e-15,4.2172773329516534e-09,1551.6879765403341,-1962.092278033659
46,16433.734939759037,2.807192398276655e-13,2.4307685474133307e-15,9.712187529731488e-09,-1.0932650828041973e-08,3.7657173823307957e-10,-0.9999999999997193,2.4307685474133307e-15,9.712187529731488e-09,1551.6879765341466,-1962.0922780334436
47,16530.12048192771,6.411206808431777e-13,5.435465197456729e-15,2.197301502667413e-08,-2.47445138438309e-08,8.649893230213662e-10,-0.9999999999993588,5.435465197456729e-15,2.197301502667413e-08,1551.6879765203348,-1962.0922780329552
48,16626.506024096387,1.439103089879874e-12,1.1944532700170214e-14,4.885084126598585e-08,-5.50359562183841e-08,1.952731336728678e-09,-0.9999999999985609,1.1944532700170214e-14,4.885084126598585e-08,1551.6879764900434,-1962.0922780318674
49,16722.89156626506,3.1757738255115325e-12,2.580240658791486e-14,1.0675392640104927e-07,-1.2032282556870235e-07,4.3337527834184226e-09,-0.9999999999968242,2.580240658791486e-14,1.0675392640104927e-07,1551.6879764247565,-1962.0922780294864
50,16819.277108433736,6.89178019051151e-12,5.480582541639598e-14,2.293729869572765e-07,-2.586430386068588e-07,9.457894063613503e-09,-0.9999999999931082,5.480582541639598e-14,2.293729869572765e-07,1551.6879762864367,-1962.0922780243623
51,16915.66265060241,1.4711393276258747e-11,1.1449411921721503e-13,4.846878205346867e-07,-5.467890713285112e-07,2.0302517820479564e-08,-0.9999999999852887,1.1449411921721503e-13,4.846878205346867e-07,1551.6879759982903,-1962.0922780135177
52,17012.048192771086,3.0898032330302213e-11,2.3531075544997667e-13,1.0075251181831806e-06,-1.1371501521573987e-06,4.2879006634540675e-08,-0.9999999999691019,2.3531075544997667e-13,1.0075251181831806e-06,1551.6879754079291,-1962.092277990941
53,17108.43373493976,6.38666852488946e-11,4.758964489978573e-13,2.060790594773923e-06,-2.3270473218850443e-06,8.912322943005035e-08,-0.9999999999361333,4.758964489978573e-13,2.060790594773923e-06,1551.6879742180322,-1962.092277944697
54,17204.819277108436,1.2995537332537327e-10,9.473337304615213e-13,4.148624487087501e-06,-4.686949821466328e-06,1.8234690171403302e-07,-0.9999999998700446,9.473337304615213e-13,4.148624487087501e-06,1551.6879718581297,-1962.0922778514732
55,17301.20481927711,2.603743037864095e-10,1.8566028737910933e-12,8.221907922305698e-06,-9.293498391878371e-06,3.673456905630748e-07,-0.9999999997396257,1.8566028737910933e-12,8.221907922305698e-06,1551.687967251581,-1962.0922776664743
56,17397.590361445786,5.13797167058043e-10,3.583142394958462e-12,1.6045127206808627e-05,-1.8145797547254337e-05,7.288302496930084e-07,-0.9999999994862029,3.583142394958462e-12,1.6045127206808627e-05,1551.687958399282,-1962.09227730499
57,17493.975903614457,9.988004220877723e-10,6.811451542730231e-12,3.0840230456757264e-05,-3.489657907802489e-05,1.424480583193704e-06,-0.9999999990011996,6.811451542730231e-12,3.0840230456757264e-05,1551.6879416485003,-1962.0922766093395
58,17590.36144578313,1.913202646103283e-09,1.2756906569280343e-11,5.839770729696978e-05,-6.611495254955366e-05,2.743262035032758e-06,-0.9999999980867974,1.2756906569280343e-11,5.839770729696978e-05,1551.687910430127,-1962.092275290558
59,17686.746987951807,3.6119225563965853e-09,2.3543921039261894e-11,0.00010896213754548438,-0.00012343113612515901,5.206653967781175e-06,-0.9999999963880775,2.3543921039261894e-11,0.00010896213754548438,1551.6878531139432,-1962.092272827166
60,17783.13253012048,6.722166089285949e-09,4.2828775344362307e-11,0.00020037940461086268,-0.0002271194077626304,9.741571819265473e-06,-0.999999993277834,4.2828775344362307e-11,0.00020037940461086268,1551.6877494256717,-1962.0922682922483
61,17879.518072289156,1.2335870188380101e-08,7.680860183956603e-11,0.00036326400951490847,-0.00041198623755694307,1.7971102809001022e-05,-0.9999999876641298,7.680860183956603e-11,0.00036326400951490847,1551.6875645588418,-1962.0922600627173
62,17975.90361445783,2.2326197743377255e-08,1.3582931260360153e-10,0.0006493455366927094,-0.0007368902066497595,3.269569311432162e-05,-0.9999999776738022,1.3582931260360153e-10,0.0006493455366927094,1551.6872396548729,-1962.092245338127
63,18072.289156626506,3.9859990010294777e-08,2.3690647738537617e-10,0.0011447328976837484,-0.0012998864302279324,5.867722730987699e-05,-0.99999996014001,2.3690647738537617e-10,0.0011447328976837484,1551.6866766586493,-1962.0922193565928
64,18168.67469879518,7.021476496239512e-08,4.076137228210083e-10,0.0019906558766727422,-0.0022619334511681955,0.00010389707002513299,-0.999999929785235,4.076137228210083e-10,0.0019906558766727422,1551.6857146116283,-1962.0921741367501
65,18265.060240963856,1.2206140854657958e-07,6.919840090552579e-10,0.003415381107408723,-0.0038834132551271864,0.0001815438683009074,-0.9999998779385915,6.919840090552579e-10,0.003415381107408723,1551.6840931318243,-1962.092096489952
66,18361.44578313253,2.094475463715177e-07,1.1593219602995944e-09,0.00578254081882766,-0.00657949765723994,0.0003131070102722671,-0.9999997905524536,1.1593219602995944e-09,0.00578254081882766,1551.6813970474223,-1962.0919649268099
67,18457.831325301206,3.5481825817355364e-07,1.9171520523274724e-09,0.009663151756202127,-0.01100275908037963,0.0005331185340421072,-0.9999996451817418,1.9171520523274724e-09,0.009663151756202127,1551.676973785999,-1962.091744915286
68,18554.21686746988,5.935479312032634e-07,3.1299380615690372e-09,0.015941232489679793,-0.01816448421866166,0.000896313562649889,-0.9999994064520688,3.1299380615690372e-09,0.015941232489679793,1551.6698120608607,-1962.0913817202575
69,18650.602409638555,9.806380822352802e-07,5.045710089531987e-09,0.0259662310413797,-0.029610006354181307,0.0014882824411429295,-0.9999990193619178,5.045710089531987e-09,0.0259662310413797,1551.6583665387252,-1962.090789751379
70,18746.98795180723,1.6004696616877337e-06,8.033326235399634e-09,0.041769502256191963,-0.04766809497278667,0.0024410832483748777,-0.9999983995303383,8.033326235399634e-09,0.041769502256191963,1551.6403084501067,-1962.0898369505717
71,18843.373493975905,2.580792923550078e-06,1.2633765734433632e-08,0.06636682289647779,-0.07580003986485159,0.003955787725869424,-0.9999974192070764,1.2633765734433632e-08,0.06636682289647779,1551.6121765052144,-1962.088322246094
72,18939.759036144576,4.112499925535401e-06,1.9629573740539562e-08,0.10417431728325446,-0.11908045971537594,0.006334561378561382,-0.9999958875000745,1.9629573740539562e-08,0.10417431728325446,1551.568896085364,-1962.0859434724414
73,19036.14457831325,6.477157324309408e-06,3.013731080402643e-08,0.16157098830668165,-0.18484884199713572,0.010025639369423777,-0.9999935228426757,3.013731080402643e-08,0.16157098830668165,1551.503127703082,-1962.0822523944507
74,19132.530120481926,1.0084778249299783e-05,4.5728535819142746e-08,0.2476469609028587,-0.2835780033148851,0.01568545558641284,-0.9999899152217507,4.5728535819142746e-08,0.2476469609028587,1551.4043985417645,-1962.0765925782337
75,19228.9156626506,1.5524871946859865e-05,6.858537787840736e-08,0.3751820226602251,-0.43001246408233834,0.02426320244812454,-0.9999844751280531,6.858537787840736e-08,0.3751820226602251,1551.257964080997,-1962.068014831372
76,19325.301204819276,2.3634408741709788e-05,1.0169701221782055e-07,0.5619033643093924,-0.6446353433718129,0.03711421637896102,-0.9999763655912582,1.0169701221782055e-07,0.5619033643093924,1551.0433412017078,-1962.055163817441
77,19421.68674698795,3.558694328886513e-05,1.4910320673587865e-07,0.8320736506756237,-0.9555257411634854,0.05614974964005585,-0.9999644130567111,1.4910320673587865e-07,0.8320736506756237,1550.732450803916,-1962.03612828418
78,19518.072289156626,5.300770415665381e-05,2.1619038933879255e-07,1.2184595700574574,-1.400668400415086,0.08403182870664301,-0.9999469922958434,2.1619038933879255e-07,1.2184595700574574,1550.2873081446642,-1962.0082462051134
79,19614.4578313253,7.811991979188856e-05,3.1004423669231296e-07,1.7647255540582678,-2.0307722654962514,0.12442290891774312,-0.9999218800802081,3.1004423669231296e-07,1.7647255540582678,1549.6572042795833,-1961.9678551249024
80,19710.843373493975,0.00011392793146157453,4.3986044474926453e-07,2.528286107501134,-2.9126428217149654,0.1823007806127173,-0.9998860720685384,4.3986044474926453e-07,2.528286107501134,1548.7753337233644,-1961.9099772532072
81,19807.22891566265,0.0001644426505147124,6.174119827431875e-07,3.5836318769026314,-4.133133301871987,0.2643495005229992,-0.9998355573494853,6.174119827431875e-07,3.5836318769026314,1547.5548432432074,-1961.8279285332972
82,19903.614457831325,0.00023495454796868573,8.575666805551402e-07,5.026118172952584,-5.8036706903386035,0.37943682734102013,-0.9997650454520313,8.575666805551402e-07,5.026118172952584,1545.884305854741,-1961.7128412064792
83,20000.0,0.00033235851312426,1.1788434592433062e-06,6.97616951223436,-8.065313088889784,0.5391875317089495,-0.9996676414868757,1.1788434592433062e-06,6.97616951223436,1543.6226634561897,-1961.5530905021112
84,20096.385542168675,0.00046553348410046427,1.6039889957675728e-06,9.583809834103752,-11.094245249234893,0.7586598283135315,-0.9995344665158995,1.6039889957675728e-06,9.583809834103752,1540.5937312958445,-1961.3336182055066
85,20192.77108433735,0.0006457776528258003,2.1605493517513393e-06,13.033376174357524,-15.10755965158615,1.0571288606929332,-0.9993542223471742,2.1605493517513393e-06,13.033376174357524,1536.5804168934933,-1961.0351491731271
86,20289.156626506025,0.0008872972255594421,2.881403469127501e-06,17.548215522569674,-20.36910326136864,1.4589765194792619,-0.9991127027744405,2.881403469127501e-06,17.548215522569674,1531.318873283711,-1960.633301514341
87,20385.5421686747,0.0012077431660986607,3.80521796214001e-06,23.39510324627333,-27.195098137884543,1.9946808217684897,-0.9987922568339014,3.80521796214001e-06,23.39510324627333,1524.492878407195,-1960.0975972120516
