,S,finite_difference,analytical
106,47700.0,5.933245666597173e-27,3.2145091277470735e-39
107,48150.0,1.3387123364029938e-27,2.6942631161086887e-40
108,48600.0,3.020031129011736e-28,2.2374268105794533e-41
109,49050.0,6.812858246231561e-29,1.8417910660011374e-42
110,49500.0,1.5371008570106914e-29,1.5035095990715756e-43
111,49950.0,3.4688752504823846e-30,1.2176731800859922e-44
112,50400.0,7.831476199373205e-31,9.787942157514704e-46
113,50850.0,1.768967319764392e-31,7.811940677391034e-47
114,51300.0,3.998224939772635e-32,6.192952674441184e-48
115,51750.0,9.043435457143369e-33,4.8782735367429244e-49
116,52200.0,2.0472162884789585e-33,3.819587993830834e-50
117,52650.0,4.638751991466044e-34,2.973689882798868e-51
118,53100.0,1.0521719658599868e-34,2.3027406470664112e-52
119,53550.0,2.3892384319301077e-35,1.7741928096758255e-53
120,54000.0,5.4319609478528455e-36,1.3604867491950613e-54
121,54450.0,1.2365554412752475e-36,1.0386089132897892e-55
122,54900.0,2.8187989817587184e-37,7.89579643865774e-57
123,55350.0,6.434878365708978e-38,5.9792065889852475e-58
124,55800.0,1.4712041990486672e-38,4.51136767656899e-59
125,56250.0,3.3689236319235784e-39,3.392338759067863e-60
126,56700.0,7.727212018378507e-40,2.5428568638250954e-61
127,57150.0,1.7753929804673117e-40,1.9005441532436339e-62
128,57600.0,4.086311743726199e-41,1.4166592485869377e-63
129,58050.0,9.42232245324523e-42,1.0533648126772242e-64
130,58500.0,2.176691689760787e-42,7.81464817636922e-66
131,58950.0,5.038140974716541e-43,5.785558905668952e-67
132,59400.0,1.168420267533481e-43,4.275347705766123e-68
133,59850.0,2.7152084346960415e-44,3.1540588623999304e-69
134,60300.0,6.322686084158696e-45,2.323376138382735e-70
135,60750.0,1.4754094448684447e-45,1.7092163141735119e-71
136,61200.0,3.4502716053113204e-46,1.2559607212087474e-72
137,61650.0,8.086121756745366e-47,9.219933925344671e-74
138,62100.0,1.8992810885236973e-47,6.762714077850728e-75
139,62550.0,4.471107927391534e-48,4.9570361534534334e-76
140,63000.0,1.0549509388726265e-48,3.631575558811873e-77
141,63450.0,2.4949058006933276e-49,2.6595117726664933e-78
142,63900.0,5.914169311817001e-50,1.9471632335151998e-79
143,64350.0,1.4052816452373857e-50,1.4254570863109452e-80
144,64800.0,3.347146546487467e-51,1.0435494610462113e-81
145,65250.0,7.991696015491567e-52,7.640695495421304e-83
146,65700.0,1.912787192891288e-52,5.59584573620632e-84
147,66150.0,4.589526644529955e-53,4.0997919308652125e-85
148,66600.0,1.1039572192791956e-53,3.0051744351095767e-86
149,67050.0,2.6621270894790445e-54,2.2041250855215827e-87
150,67500.0,6.435853345397437e-55,1.617732740548039e-88
151,67950.0,1.5598846462947778e-55,1.1882971757053536e-89
152,68400.0,3.7904918429878726e-56,8.736417664331156e-91
153,68850.0,9.234698611680018e-57,6.429431779629308e-92
154,69300.0,2.2556976681381693e-57,4.736768278377731e-93
155,69750.0,5.5242882649571584e-58,3.493816996412922e-94
156,70200.0,1.3564702256016654e-58,2.5802599617791853e-95
157,70650.0,3.3389120979304293e-59,1.9081286422489174e-96
158,71100.0,8.212684018951294e-60,1.4130810975421265e-97
159,71550.0,1.9134107127094953e-60,1.048033045922986e-98
160,72000.0,0.0,7.785085651895145e-100
