,S,quantum,black_scholes,finite_difference
43,14123.74963808248,9748.372555612885,9748.373077995666,9748.373077983837
44,14212.647848344583,9659.474603607305,9659.474867733563,9659.474867721758
45,14302.105604902108,9570.01697953603,9570.017111176037,9570.017111164254
46,14392.12642967139,9479.996221735526,9479.996286406755,9479.996286394995
47,14482.713866736514,9389.408818025007,9389.408849341631,9389.408849329873
48,14573.871482488861,9298.251218641617,9298.251233589284,9298.251233577526
49,14665.60286576755,9206.519843278258,9206.519850310595,9206.519850298837
50,14757.911628000618,9114.21108481653,9114.211088077527,9114.21108806577
51,14850.801403347366,9021.321311240317,9021.321312730779,9021.321312719021
52,14944.275848841316,8927.846866565385,8927.846867236829,8927.846867225122
53,15038.33864453423,8833.784071245776,8833.784071543916,8833.784071532258
54,15132.993493641003,8739.129222306683,8739.129222437143,8739.129222425536
55,15228.24412268536,8643.87859333651,8643.878593392785,8643.878593381229
56,15324.094281646727,8548.028434407488,8548.028434431419,8548.028434420055
57,15420.547744107755,8451.574971960352,8451.57497197039,8451.574971959648
58,15517.608307402945,8354.51440867107,8354.5144086752,8354.514408665082
59,15615.27979276803,8256.842923308433,8256.842923310114,8256.842923300625
60,15713.566045490585,8158.556670586879,8158.556670587563,8158.5566705787005
61,15812.470935061308,8059.651781016559,8059.651781016837,8059.651781012386
62,15911.998355326381,7960.124360751644,7960.1243607517645,7960.124360753965
63,16012.152224640799,7859.970491437314,7859.970491437347,7859.970491446242
64,16112.936486022521,7759.186230055609,7759.186230055628,7759.186230071255
65,16214.355107307883,7657.767608770253,7657.767608770264,7657.767608800623
66,16316.412081307684,7555.710634770457,7555.710634770472,7555.710634864174
67,16419.111425964416,7453.011290113738,7453.011290113758,7453.011290271193
68,16522.457184510477,7349.665531567741,7349.665531567738,7349.6655317892855
69,16626.453425627238,7245.669290451075,7245.669290451075,7245.66929073708
70,16731.1042436054,7141.018472473155,7141.018472473152,7141.018473194215
71,16836.413758506056,7035.708957573069,7035.708957573061,7035.708958839793
72,16942.386116322978,6929.736599757515,6929.736599757445,6929.736601572543
73,17049.025489145693,6823.0972269378535,6823.097226937716,6823.097229302958
74,17156.336075323954,6715.786640766493,6715.7866407661895,6715.786645584399
75,17264.32209963287,6607.800616472906,6607.80061647225,6607.800625483473
76,17372.987813439293,6499.134902700047,6499.134902698639,6499.134915911528
77,17482.3374948692,6389.785221342604,6389.785221339582,6389.785238742751
